price	locate	disk	cpu	ip	memory	band
53.00	Seattle, WA	100	4	1	8192	5000
299.00	Buffalo, NY	500	8	1	32768	5000
299.00	Buffalo, NY	500	8	1	32768	5000
30.00	Los Angeles, CA	20	2	1	4096	1000
30.00	Los Angeles, CA	20	2	1	4096	1000
8.90	Buffalo, NY	15	1	1	1024	1000
7.50	Dallas, TX	10	1	1	512	1000
30.00	Buffalo, NY	10	3	2	2048	1000
40.00	Los Angeles, CA	50	4	1	4096	3000
7.00	Dallas, TX	10	1	1	256	1000
55.00	Los Angeles, CA	60	4	1	6144	3500
50.00	Los Angeles, CA	70	3	1	6144	2000
6.50	Buffalo, NY	5	1	1	512	750
9.00	Buffalo, NY	5	1	1	1024	1000
13.50	Buffalo, NY	5	2	1	1024	1000
12.30	DALLAS, TX	5	2	1	384	500
25.06	BUFFALO, NY	15	2	1	1920	1500
45.77	BUFFALO, NY	30	4	1	7424	5500
21.46	PISCATAWAY, NJ	15	2	1	1408	1000
33.33	BUFFALO, NY	10	3	1	1664	1500
26.90	DALLAS, TX	15	4	1	1408	1000
26.05	ATLANTA, GA	10	2	1	3712	3500
33.62	BUFFALO, NY	15	4	1	2688	2500
17.89	BUFFALO, NY	10	1	1	1408	1000
10.17	LOS ANGELES, CA	10	1	1	640	500
21.46	BUFFALO, NY	15	2	1	1280	500
34.89	BUFFALO, NY	30	4	1	3584	2500
34.89	BUFFALO, NY	30	4	1	3584	2500
27.17	PISCATAWAY, NJ	30	2	1	4736	3500
47.44	LOS ANGELES, CA	60	4	1	2944	1500
50.84	SEATTLE, WA	65	3	1	5120	5000
38.77	SEATTLE, WA	40	4	1	1024	500
25.10	BUFFALO, NY	15	2	1	1664	1500
42.47	CHICAGO, IL	30	3	1	2048	2000
25.05	PISCATAWAY, NJ	15	2	1	1280	1000
46.59	LOS ANGELES, CA	55	3	1	3456	3000
16.63	PISCATAWAY, NJ	15	1	1	2688	2500
39.62	BUFFALO, NY	15	4	1	2304	2000
29.18	BUFFALO, NY	15	3	1	1664	1000
24.45	BUFFALO, NY	30	2	1	3840	2500
24.45	BUFFALO, NY	30	2	1	3840	2500
22.89	BUFFALO, NY	10	2	1	896	500
30.61	LOS ANGELES, CA	10	3	1	768	500
36.90	BUFFALO, NY	15	4	1	2048	1000
24.45	BUFFALO, NY	30	2	1	3456	2500
25.61	DALLAS, TX	10	2	1	1920	1500
39.62	DALLAS, TX	15	4	1	2560	2500
12.38	PISCATAWAY, NJ	20	1	1	896	500
13.74	BUFFALO, NY	15	1	1	1152	500
21.05	CHICAGO, IL	40	2	1	1920	1000
21.05	CHICAGO, IL	40	2	1	1920	1000
50.16	LOS ANGELES, CA	60	4	1	3968	3500
31.56	CHICAGO, IL	25	3	1	2048	2000
31.56	CHICAGO, IL	25	3	1	2048	2000
29.18	DALLAS, TX	15	3	1	1792	1000
55.26	PISCATAWAY, NJ	10	3	1	9344	9000
36.05	BUFFALO, NY	10	3	1	2560	2500
31.90	BUFFALO, NY	15	3	1	2304	1500
36.90	LOS ANGELES, CA	15	4	1	1280	1000
17.89	BUFFALO, NY	10	1	1	1024	1000
21.46	PISCATAWAY, NJ	15	2	1	1024	500
39.62	DALLAS, TX	15	4	1	2176	2000
33.92	LOS ANGELES, CA	15	3	1	1280	1000
33.33	BUFFALO, NY	10	3	1	1536	1500
26.64	LOS ANGELES, CA	20	2	1	1920	1500
26.64	LOS ANGELES, CA	20	2	1	1920	1500
21.46	CHICAGO, IL	15	2	1	1152	1000
39.19	SEATTLE, WA	40	4	1	2048	1000
29.90	BUFFALO, NY	15	3	1	2176	1000
33.90	BUFFALO, NY	15	4	1	1536	1000
17.89	LOS ANGELES, CA	10	1	1	1152	1000
26.05	PISCATAWAY, NJ	10	1	1	4224	4000
25.61	CHICAGO, IL	10	2	1	1792	1500
39.62	ATLANTA, GA	15	4	1	2944	3000
42.78	DALLAS, TX	15	4	1	1664	1500
17.95	LOS ANGELES, CA	15	1	1	1664	1500
24.18	LOS ANGELES, CA	15	2	1	2176	2000
58.00	SEATTLE, WA	75	3	1	8064	8000
58.00	SEATTLE, WA	75	3	1	8064	8000
42.10	PISCATAWAY, NJ	10	3	1	6272	6000
